model,scenario,historical,1.5¢XC,2¢XC,3¢XC,4¢XC
ACCESS-CM2,ssp126,2004,2027,2042,,
ACCESS-ESM1-5,ssp126,2004,2030,2073,,
AWI-CM-1-1-MR,ssp126,2004,2022,2050,,
BCC-CSM2-MR,ssp126,2004,2041,,,
CanESM5,ssp126,2004,2013,2026,,
CESM2-WACCM,ssp126,2004,2021,2038,,
CMCC-CM2-SR5,ssp126,2004,2023,2038,,
CMCC-ESM2,ssp126,2004,2030,2042,,
EC-Earth3,ssp126,2004,2022,2043,,
EC-Earth3-Veg,ssp126,2004,2012,2029,,
EC-Earth3-Veg-LR,ssp126,2004,2030,,,
FGOALS-g3,ssp126,2004,2076,,,
IITM-ESM,ssp126,2004,2045,,,
INM-CM4-8,ssp126,2004,2050,,,
INM-CM5-0,ssp126,2004,2036,,,
IPSL-CM5A2-INCA,ssp126,2004,2013,2030,,
IPSL-CM6A-LR,ssp126,2004,2019,2038,,
KACE-1-0-G,ssp126,2004,2014,2024,,
KIOST-ESM,ssp126,2004,2020,,,
MIROC6,ssp126,2004,2063,,,
MPI-ESM1-2-HR,ssp126,2004,2041,,,
MPI-ESM1-2-LR,ssp126,2004,2042,,,
MRI-ESM2-0,ssp126,2004,2029,,,
NESM3,ssp126,2004,2021,2049,,
TaiESM1,ssp126,2004,2027,2040,,
ACCESS-CM2,ssp245,,2028,2040,2071,
ACCESS-ESM1-5,ssp245,,2029,2045,,
AWI-CM-1-1-MR,ssp245,,2020,2039,,
BCC-CSM2-MR,ssp245,,2035,2057,,
CanESM5,ssp245,,2013,2024,2049,2083
CESM2-WACCM,ssp245,,2024,2039,2075,
CMCC-CM2-SR5,ssp245,,2025,2038,2066,
CMCC-ESM2,ssp245,,2030,2040,2065,
EC-Earth3,ssp245,,2022,2044,2085,
EC-Earth3-CC,ssp245,2004,2007,2035,2073,
EC-Earth3-Veg,ssp245,,2010,2033,2067,
EC-Earth3-Veg-LR,ssp245,,2026,2049,2090,
FGOALS-g3,ssp245,,2030,2063,,
GFDL-CM4,ssp245,2004,2031,2049,,
GFDL-ESM4,ssp245,2004,2046,2073,,
IITM-ESM,ssp245,,2036,2061,,
INM-CM4-8,ssp245,,2035,2063,,
INM-CM5-0,ssp245,,2037,2072,,
IPSL-CM6A-LR,ssp245,,2018,2033,2065,
KACE-1-0-G,ssp245,,2013,2023,2050,
KIOST-ESM,ssp245,,2021,2040,,
MIROC6,ssp245,,2046,2073,,
MPI-ESM1-2-HR,ssp245,,2037,2063,,
MPI-ESM1-2-LR,ssp245,,2036,2057,,
MRI-ESM2-0,ssp245,,2030,2049,,
NESM3,ssp245,,2024,2043,,
NorESM2-LM,ssp245,2004,2055,2085,,
NorESM2-MM,ssp245,2004,2046,2078,,
TaiESM1,ssp245,,2031,2043,2068,
ACCESS-CM2,ssp370,,2027,2039,2062,2082
ACCESS-ESM1-5,ssp370,,2033,2048,2069,
AWI-CM-1-1-MR,ssp370,,2022,2037,2064,
BCC-CSM2-MR,ssp370,,2032,2046,2074,
CanESM5,ssp370,,2013,2023,2043,2059
CESM2-WACCM,ssp370,,2028,2041,2063,2085
CMCC-CM2-SR5,ssp370,,2025,2039,2063,2087
CMCC-ESM2,ssp370,,2031,2041,2063,2087
EC-Earth3,ssp370,,2022,2038,2063,2084
EC-Earth3-AerChem,ssp370,2004,2032,2047,2066,2083
EC-Earth3-Veg,ssp370,,2011,2032,2057,2076
EC-Earth3-Veg-LR,ssp370,,2028,2045,2066,2087
FGOALS-g3,ssp370,,2026,2045,2082,
GFDL-ESM4,ssp370,,2041,2057,2083,
IITM-ESM,ssp370,,2032,2051,2088,
INM-CM4-8,ssp370,,2035,2052,2083,
INM-CM5-0,ssp370,,2032,2050,2084,
IPSL-CM5A2-INCA,ssp370,,2011,2030,2058,2079
IPSL-CM6A-LR,ssp370,,2019,2034,2055,2076
KACE-1-0-G,ssp370,,2014,2024,2046,2072
MIROC6,ssp370,,2043,2059,,
MPI-ESM1-2-HR,ssp370,,2034,2050,2081,
MPI-ESM1-2-LR,ssp370,,2035,2052,2078,
MRI-ESM2-0,ssp370,,2031,2045,2073,
NorESM2-LM,ssp370,,2051,2069,,
NorESM2-MM,ssp370,,2046,2062,2090,
TaiESM1,ssp370,,2033,2043,2061,2081
ACCESS-CM2,ssp585,,2025,2038,2055,2071
ACCESS-ESM1-5,ssp585,,2027,2039,2060,2078
AWI-CM-1-1-MR,ssp585,,2019,2036,2059,2079
BCC-CSM2-MR,ssp585,,2030,2043,2065,
CanESM5,ssp585,,2012,2022,2040,2054
CESM2-WACCM,ssp585,,2020,2033,2053,2068
CMCC-CM2-SR5,ssp585,,2021,2033,2052,2069
CMCC-ESM2,ssp585,,2029,2039,2055,2070
EC-Earth3,ssp585,,2024,2035,2057,2073
EC-Earth3-CC,ssp585,,2007,2036,2056,2071
EC-Earth3-Veg,ssp585,,2011,2027,2050,2067
EC-Earth3-Veg-LR,ssp585,,2028,2041,2061,2075
FGOALS-g3,ssp585,,2027,2046,2072,
GFDL-CM4,ssp585,,2029,2041,2059,2079
GFDL-ESM4,ssp585,,2039,2052,2075,
IITM-ESM,ssp585,,2035,2048,2076,
INM-CM4-8,ssp585,,2030,2046,2069,
INM-CM5-0,ssp585,,2030,2046,2074,
IPSL-CM6A-LR,ssp585,,2018,2034,2050,2066
KACE-1-0-G,ssp585,,2014,2023,2043,2062
KIOST-ESM,ssp585,,2017,2038,2064,
MIROC6,ssp585,,2040,2053,2076,
MPI-ESM1-2-HR,ssp585,,2033,2049,2073,
MPI-ESM1-2-LR,ssp585,,2034,2048,2071,
MRI-ESM2-0,ssp585,,2026,2038,2064,2083
NESM3,ssp585,,2021,2034,2054,2072
NorESM2-LM,ssp585,,2042,2056,2077,
NorESM2-MM,ssp585,,2039,2054,2076,
TaiESM1,ssp585,,2028,2036,2052,2067
